context,service,name,upload
dfs,namenode,CreateFileOps,FALSE
dfs,namenode,FilesCreated,FALSE
dfs,namenode,FilesAppended,FALSE
dfs,namenode,GetBlockLocations,FALSE
dfs,namenode,FilesRenamed,FALSE
dfs,namenode,GetListingOps,FALSE
dfs,namenode,DeleteFileOps,FALSE
dfs,namenode,FilesDeleted,FALSE
dfs,namenode,FileInfoOps,FALSE
dfs,namenode,AddBlockOps,FALSE
dfs,namenode,GetAdditionalDatanodeOps,FALSE
dfs,namenode,CreateSymlinkOps,FALSE
dfs,namenode,GetLinkTargetOps,FALSE
dfs,namenode,FilesInGetListingOps,FALSE
dfs,namenode,AllowSnapshotOps,FALSE
dfs,namenode,DisallowSnapshotOps,FALSE
dfs,namenode,CreateSnapshotOps,FALSE
dfs,namenode,DeleteSnapshotOps,FALSE
dfs,namenode,RenameSnapshotOps,FALSE
dfs,namenode,ListSnapshottableDirOps,FALSE
dfs,namenode,SnapshotDiffReportOps,FALSE
dfs,namenode,TransactionsNumOps,FALSE
dfs,namenode,TransactionsAvgTime,FALSE
dfs,namenode,SyncsNumOps,FALSE
dfs,namenode,SyncsAvgTime,FALSE
dfs,namenode,TransactionsBatchedInSync,FALSE
dfs,namenode,BlockReportNumOps,FALSE
dfs,namenode,BlockReportAvgTime,FALSE
dfs,namenode,CacheReportNumOps,FALSE
dfs,namenode,CacheReportAvgTime,FALSE
dfs,namenode,SafeModeTime,FALSE
dfs,namenode,FsImageLoadTime,FALSE
dfs,namenode,FsImageLoadTime,FALSE
dfs,namenode,GetEditNumOps,FALSE
dfs,namenode,GetEditAvgTime,FALSE
dfs,namenode,GetImageNumOps,FALSE
dfs,namenode,GetImageAvgTime,FALSE
dfs,namenode,PutImageNumOps,FALSE
dfs,namenode,PutImageAvgTime,FALSE
dfs,FSNamesystem,MissingBlocks,FALSE
dfs,FSNamesystem,ExpiredHeartbeats,FALSE
dfs,FSNamesystem,TransactionsSinceLastCheckpoint,FALSE
dfs,FSNamesystem,TransactionsSinceLastLogRoll,FALSE
dfs,FSNamesystem,LastWrittenTransactionId,FALSE
dfs,FSNamesystem,LastCheckpointTime,FALSE
dfs,FSNamesystem,CapacityTotal,FALSE
dfs,FSNamesystem,CapacityTotalGB,FALSE
dfs,FSNamesystem,CapacityUsed,FALSE
dfs,FSNamesystem,CapacityUsedGB,FALSE
dfs,FSNamesystem,CapacityRemaining,FALSE
dfs,FSNamesystem,CapacityRemainingGB,FALSE
dfs,FSNamesystem,CapacityUsedNonDFS,FALSE
dfs,FSNamesystem,TotalLoad,FALSE
dfs,FSNamesystem,SnapshottableDirectories,FALSE
dfs,FSNamesystem,Snapshots,FALSE
dfs,FSNamesystem,BlocksTotal,FALSE
dfs,FSNamesystem,FilesTotal,FALSE
dfs,FSNamesystem,PendingReplicationBlocks,FALSE
dfs,FSNamesystem,UnderReplicatedBlocks,FALSE
dfs,FSNamesystem,CorruptBlocks,FALSE
dfs,FSNamesystem,ScheduledReplicationBlocks,FALSE
dfs,FSNamesystem,PendingDeletionBlocks,FALSE
dfs,FSNamesystem,ExcessBlocks,FALSE
dfs,FSNamesystem,PostponedMisreplicatedBlocks,FALSE
dfs,FSNamesystem,PendingDataNodeMessageCourt,FALSE
dfs,FSNamesystem,MillisSinceLastLoadedEdits,FALSE
dfs,FSNamesystem,BlockCapacity,FALSE
dfs,FSNamesystem,StaleDataNodes,FALSE
dfs,FSNamesystem,TotalFiles,FALSE
dfs,JournalNode,Syncs60sNumOps,FALSE
dfs,JournalNode,Syncs60s50thPercentileLatencyMicros,FALSE
dfs,JournalNode,Syncs60s75thPercentileLatencyMicros,FALSE
dfs,JournalNode,Syncs60s90thPercentileLatencyMicros,FALSE
dfs,JournalNode,Syncs60s95thPercentileLatencyMicros,FALSE
dfs,JournalNode,Syncs60s99thPercentileLatencyMicros,FALSE
dfs,JournalNode,Syncs300sNumOps,FALSE
dfs,JournalNode,Syncs300s50thPercentileLatencyMicros,FALSE
dfs,JournalNode,Syncs300s75thPercentileLatencyMicros,FALSE
dfs,JournalNode,Syncs300s90thPercentileLatencyMicros,FALSE
dfs,JournalNode,Syncs300s95thPercentileLatencyMicros,FALSE
dfs,JournalNode,Syncs300s99thPercentileLatencyMicros,FALSE
dfs,JournalNode,Syncs3600sNumOps,FALSE
dfs,JournalNode,Syncs3600s50thPercentileLatencyMicros,FALSE
dfs,JournalNode,Syncs3600s75thPercentileLatencyMicros,FALSE
dfs,JournalNode,Syncs3600s90thPercentileLatencyMicros,FALSE
dfs,JournalNode,Syncs3600s95thPercentileLatencyMicros,FALSE
dfs,JournalNode,Syncs3600s99thPercentileLatencyMicros,FALSE
dfs,JournalNode,BatchesWritten,FALSE
dfs,JournalNode,TxnsWritten,FALSE
dfs,JournalNode,BytesWritten,FALSE
dfs,JournalNode,BatchesWrittenWhileLagging,FALSE
dfs,JournalNode,LastWriterEpoch,FALSE
dfs,JournalNode,CurrentLagTxns,FALSE
dfs,JournalNode,LastWrittenTxId,FALSE
dfs,JournalNode,LastPromisedEpoch,FALSE
dfs,datanode,BytesWritten,FALSE
dfs,datanode,BytesRead,FALSE
dfs,datanode,BlocksWritten,FALSE
dfs,datanode,BlocksRead,FALSE
dfs,datanode,BlocksReplicated,FALSE
dfs,datanode,BlocksRemoved,FALSE
dfs,datanode,BlocksVerified,FALSE
dfs,datanode,BlockVerificationFailures,FALSE
dfs,datanode,BlocksCached,FALSE
dfs,datanode,BlocksUncached,FALSE
dfs,datanode,ReadsFromLocalClient,FALSE
dfs,datanode,ReadsFromRemoteClient,FALSE
dfs,datanode,WritesFromLocalClient,FALSE
dfs,datanode,WritesFromRemoteClient,FALSE
dfs,datanode,BlocksGetLocalPathInfo,FALSE
dfs,datanode,FsyncCount,FALSE
dfs,datanode,VolumeFailures,FALSE
dfs,datanode,ReadBlockOpNumOps,FALSE
dfs,datanode,ReadBlockOpAvgTime,FALSE
dfs,datanode,WriteBlockOpNumOps,FALSE
dfs,datanode,WriteBlockOpAvgTime,FALSE
dfs,datanode,BlockChecksumOpNumOps,FALSE
dfs,datanode,BlockChecksumOpAvgTime,FALSE
dfs,datanode,CopyBlockOpNumOps,FALSE
dfs,datanode,CopyBlockOpAvgTime,FALSE
dfs,datanode,ReplaceBlockOpNumOps,FALSE
dfs,datanode,ReplaceBlockOpAvgTime,FALSE
dfs,datanode,HeartbeatsNumOps,FALSE
dfs,datanode,HeartbeatsAvgTime,FALSE
dfs,datanode,BlockReportsNumOps,FALSE
dfs,datanode,BlockReportsAvgTime,FALSE
dfs,datanode,IncrementalBlockReportsNumOps,FALSE
dfs,datanode,IncrementalBlockReportsAvgTime,FALSE
dfs,datanode,CacheReportsNumOps,FALSE
dfs,datanode,CacheReportsAvgTime,FALSE
dfs,datanode,PacketAckRoundTripTimeNanosNumOps,FALSE
dfs,datanode,PacketAckRoundTripTimeNanosAvgTime,FALSE
dfs,datanode,FlushNanosNumOps,FALSE
dfs,datanode,FlushNanosAvgTime,FALSE
dfs,datanode,FsyncNanosNumOps,FALSE
dfs,datanode,FsyncNanosAvgTime,FALSE
dfs,datanode,SendDataPacketBlockedOnNetworkNanosNumOps,FALSE
dfs,datanode,SendDataPacketBlockedOnNetworkNanosAvgTime,FALSE
dfs,datanode,SendDataPacketTransferNanosNumOps,FALSE
dfs,datanode,SendDataPacketTransferNanosAvgTime,FALSE
yarn,ClusterMetrics,NumActiveNMs,TRUE
yarn,ClusterMetrics,NumDecommissionedNMs,FALSE
yarn,ClusterMetrics,NumLostNMs,FALSE
yarn,ClusterMetrics,NumUnhealthyNMs,FALSE
yarn,ClusterMetrics,NumRebootedNMs,FALSE
yarn,QueueMetrics,running_0,FALSE
yarn,QueueMetrics,running_60,FALSE
yarn,QueueMetrics,running_300,FALSE
yarn,QueueMetrics,running_1440,FALSE
yarn,QueueMetrics,AppsSubmitted,FALSE
yarn,QueueMetrics,AppsRunning,FALSE
yarn,QueueMetrics,AppsPending,FALSE
yarn,QueueMetrics,AppsCompleted,FALSE
yarn,QueueMetrics,AppsKilled,FALSE
yarn,QueueMetrics,AppsFailed,FALSE
yarn,QueueMetrics,AllocatedMB,FALSE
yarn,QueueMetrics,AllocatedVCores,FALSE
yarn,QueueMetrics,AllocatedContainers,FALSE
yarn,QueueMetrics,AggregateContainersAllocated,FALSE
yarn,QueueMetrics,AggregateContainersReleased,FALSE
yarn,QueueMetrics,AvailableMB,FALSE
yarn,QueueMetrics,AvailableVCores,FALSE
yarn,QueueMetrics,PendingMB,FALSE
yarn,QueueMetrics,PendingVCores,FALSE
yarn,QueueMetrics,PendingContainers,TRUE
yarn,QueueMetrics,ReservedMB,FALSE
yarn,QueueMetrics,ReservedVCores,FALSE
yarn,QueueMetrics,ReservedContainers,FALSE
yarn,QueueMetrics,ActiveUsers,FALSE
yarn,QueueMetrics,ActiveApplications,FALSE
yarn,QueueMetrics,FairShareMB,FALSE
yarn,QueueMetrics,FairShareVCores,FALSE
yarn,QueueMetrics,MinShareMB,FALSE
yarn,QueueMetrics,MinShareVCores,FALSE
yarn,QueueMetrics,MaxShareMB,FALSE
yarn,QueueMetrics,MaxShareVCores,FALSE
yarn,NodeManagerMetrics,containersLaunched,FALSE
yarn,NodeManagerMetrics,containersCompleted,FALSE
yarn,NodeManagerMetrics,containersFailed,FALSE
yarn,NodeManagerMetrics,containersKilled,FALSE
yarn,NodeManagerMetrics,containersIniting,FALSE
yarn,NodeManagerMetrics,containersRunning,FALSE
yarn,NodeManagerMetrics,allocatedContainers,FALSE
yarn,NodeManagerMetrics,allocatedGB,FALSE
yarn,NodeManagerMetrics,availableGB,FALSE
