context,service,name,upload,value_type
dfs,namenode,CreateFileOps,FALSE,counter
dfs,namenode,FilesCreated,FALSE,counter
dfs,namenode,FilesAppended,FALSE,counter
dfs,namenode,GetBlockLocations,FALSE,counter
dfs,namenode,FilesRenamed,FALSE,counter
dfs,namenode,GetListingOps,FALSE,counter
dfs,namenode,DeleteFileOps,FALSE,counter
dfs,namenode,FilesDeleted,FALSE,counter
dfs,namenode,FileInfoOps,FALSE,counter
dfs,namenode,AddBlockOps,FALSE,counter
dfs,namenode,GetAdditionalDatanodeOps,FALSE,counter
dfs,namenode,CreateSymlinkOps,FALSE,counter
dfs,namenode,GetLinkTargetOps,FALSE,counter
dfs,namenode,FilesInGetListingOps,FALSE,counter
dfs,namenode,AllowSnapshotOps,FALSE,counter
dfs,namenode,DisallowSnapshotOps,FALSE,counter
dfs,namenode,CreateSnapshotOps,FALSE,counter
dfs,namenode,DeleteSnapshotOps,FALSE,counter
dfs,namenode,RenameSnapshotOps,FALSE,counter
dfs,namenode,ListSnapshottableDirOps,FALSE,counter
dfs,namenode,SnapshotDiffReportOps,FALSE,counter
dfs,namenode,TransactionsNumOps,FALSE,counter
dfs,namenode,TransactionsAvgTime,FALSE,counter
dfs,namenode,SyncsNumOps,FALSE,counter
dfs,namenode,SyncsAvgTime,FALSE,counter
dfs,namenode,TransactionsBatchedInSync,FALSE,counter
dfs,namenode,BlockReportNumOps,FALSE,counter
dfs,namenode,BlockReportAvgTime,FALSE,time
dfs,namenode,CacheReportNumOps,FALSE,counter
dfs,namenode,CacheReportAvgTime,FALSE,time
dfs,namenode,SafeModeTime,FALSE,time
dfs,namenode,FsImageLoadTime,FALSE,time
dfs,namenode,FsImageLoadTime,FALSE,time
dfs,namenode,GetEditNumOps,FALSE,counter
dfs,namenode,GetEditAvgTime,FALSE,time
dfs,namenode,GetImageNumOps,FALSE,counter
dfs,namenode,GetImageAvgTime,FALSE,time
dfs,namenode,PutImageNumOps,FALSE,counter
dfs,namenode,PutImageAvgTime,FALSE,time
dfs,FSNamesystem,MissingBlocks,FALSE,gauge
dfs,FSNamesystem,ExpiredHeartbeats,FALSE,counter
dfs,FSNamesystem,TransactionsSinceLastCheckpoint,FALSE,counter
dfs,FSNamesystem,TransactionsSinceLastLogRoll,FALSE,counter
dfs,FSNamesystem,LastWrittenTransactionId,FALSE,gauge
dfs,FSNamesystem,LastCheckpointTime,FALSE,time
dfs,FSNamesystem,CapacityTotal,FALSE,gauge
dfs,FSNamesystem,CapacityTotalGB,FALSE,gauge
dfs,FSNamesystem,CapacityUsed,FALSE,gauge
dfs,FSNamesystem,CapacityUsedGB,FALSE,gauge
dfs,FSNamesystem,CapacityRemaining,FALSE,gauge
dfs,FSNamesystem,CapacityRemainingGB,FALSE,gauge
dfs,FSNamesystem,CapacityUsedNonDFS,FALSE,gauge
dfs,FSNamesystem,TotalLoad,FALSE,gauge
dfs,FSNamesystem,SnapshottableDirectories,FALSE,gauge
dfs,FSNamesystem,Snapshots,FALSE,gauge
dfs,FSNamesystem,BlocksTotal,FALSE,gauge
dfs,FSNamesystem,FilesTotal,FALSE,gauge
dfs,FSNamesystem,PendingReplicationBlocks,FALSE,gauge
dfs,FSNamesystem,UnderReplicatedBlocks,FALSE,gauge
dfs,FSNamesystem,CorruptBlocks,FALSE,gauge
dfs,FSNamesystem,ScheduledReplicationBlocks,FALSE,gauge
dfs,FSNamesystem,PendingDeletionBlocks,FALSE,gauge
dfs,FSNamesystem,ExcessBlocks,FALSE,gauge
dfs,FSNamesystem,PostponedMisreplicatedBlocks,FALSE,gauge
dfs,FSNamesystem,PendingDataNodeMessageCourt,FALSE,gauge
dfs,FSNamesystem,MillisSinceLastLoadedEdits,FALSE,time
dfs,FSNamesystem,BlockCapacity,FALSE,gauge
dfs,FSNamesystem,StaleDataNodes,FALSE,gauge
dfs,FSNamesystem,TotalFiles,FALSE,gauge
dfs,datanode,BytesWritten,FALSE,counter
dfs,datanode,BytesRead,FALSE,counter
dfs,datanode,BlocksWritten,FALSE,counter
dfs,datanode,BlocksRead,FALSE,counter
dfs,datanode,BlocksReplicated,FALSE,counter
dfs,datanode,BlocksRemoved,FALSE,counter
dfs,datanode,BlocksVerified,FALSE,counter
dfs,datanode,BlockVerificationFailures,FALSE,counter
dfs,datanode,BlocksCached,FALSE,counter
dfs,datanode,BlocksUncached,FALSE,counter
dfs,datanode,ReadsFromLocalClient,FALSE,counter
dfs,datanode,ReadsFromRemoteClient,FALSE,counter
dfs,datanode,WritesFromLocalClient,FALSE,counter
dfs,datanode,WritesFromRemoteClient,FALSE,counter
dfs,datanode,BlocksGetLocalPathInfo,FALSE,counter
dfs,datanode,FsyncCount,FALSE,counter
dfs,datanode,VolumeFailures,FALSE,counter
dfs,datanode,ReadBlockOpNumOps,FALSE,counter
dfs,datanode,ReadBlockOpAvgTime,FALSE,time
dfs,datanode,WriteBlockOpNumOps,FALSE,counter
dfs,datanode,WriteBlockOpAvgTime,FALSE,time
dfs,datanode,BlockChecksumOpNumOps,FALSE,counter
dfs,datanode,BlockChecksumOpAvgTime,FALSE,time
dfs,datanode,CopyBlockOpNumOps,FALSE,counter
dfs,datanode,CopyBlockOpAvgTime,FALSE,time
dfs,datanode,ReplaceBlockOpNumOps,FALSE,counter
dfs,datanode,ReplaceBlockOpAvgTime,FALSE,time
dfs,datanode,HeartbeatsNumOps,FALSE,counter
dfs,datanode,HeartbeatsAvgTime,FALSE,time
dfs,datanode,BlockReportsNumOps,FALSE,counter
dfs,datanode,BlockReportsAvgTime,FALSE,time
dfs,datanode,IncrementalBlockReportsNumOps,FALSE,counter
dfs,datanode,IncrementalBlockReportsAvgTime,FALSE,time
dfs,datanode,CacheReportsNumOps,FALSE,counter
dfs,datanode,CacheReportsAvgTime,FALSE,time
dfs,datanode,PacketAckRoundTripTimeNanosNumOps,FALSE,counter
dfs,datanode,PacketAckRoundTripTimeNanosAvgTime,FALSE,time
dfs,datanode,FlushNanosNumOps,FALSE,counter
dfs,datanode,FlushNanosAvgTime,FALSE,time
dfs,datanode,FsyncNanosNumOps,FALSE,counter
dfs,datanode,FsyncNanosAvgTime,FALSE,time
dfs,datanode,SendDataPacketBlockedOnNetworkNanosNumOps,FALSE,counter
dfs,datanode,SendDataPacketBlockedOnNetworkNanosAvgTime,FALSE,time
